id,author,title,content,rating,updated,im:version
14239108583,DJ marshmallow2802,Great but ads are too long,3/5 piratical until its isn’t,3,2026-06-28T19:11:31-07:00,9.1.60
14239102384,KynPickle,Don't hesitate!! Download NOW!!,"AWESOME APP. I can find ANY song here, even the most unnoticed songs. The rarest of the rare. ONE, UNO. ONE problem. You can only pick a certain amount of songs each day. I dunno how many specifically, but it may be under 10. Great app. Literally no major problems. Thanks for reading, Bye Pookies!!! 💜💜💜",5,2026-06-28T19:09:12-07:00,9.1.60
14239094887,**Thor**,Why,It keeps me completely locked in and feeds my needs for new music and content. I enjoy all the podcasts and reminders🤘,5,2026-06-28T19:06:19-07:00,9.1.60
14239078881,🎀♡🌈🫧🌸,Adds.,WAY TO MUCH ADDs,1,2026-06-28T19:00:13-07:00,9.1.60
14239065618,Ashey brubby,Good app,"Awesome app would recommend to anyone looking to get into frequent music listening. Not only can you play any song or podcast you want, you can also download podcasts and listen to them with the same download feature.",5,2026-06-28T18:54:59-07:00,9.1.60
14239034835,nurtahmid_13,One more thing,Would love it if you stayed on the lyrics page when the songs changed.,4,2026-06-28T18:43:02-07:00,9.1.60
14239023409,kim the beautiful one!,Great music,I love it,5,2026-06-28T18:38:39-07:00,9.1.60
14239021388,Pink80$,Free users,"People who use this app free can’t do anything. For example, users can’t play their music how they want without smart shuffle. They can’t even  replay a song unless they click it again.",1,2026-06-28T18:37:52-07:00,9.1.60
14239020524,tfuugx,100% worth it,Premium is pretty cheap and 100% worth it as someone who uses the app everyday,5,2026-06-28T18:37:32-07:00,9.1.60
14239017793,loved!!!!!!!!!!!!!,❤️❤️❤️❤️,I love Spotify there is a wide variety of songs and it is so amazing recommended,5,2026-06-28T18:36:28-07:00,9.1.60
14239005096,[ NAME ],Spotify you absolute BUFFOON.,"Why in the WORLD. Is a MUSIC APP. An APP MADE FIR MUSICAL ACTIVITIES. Restricting my access to song skipping and rewinding, choosing the song itself, and giving me two minute ads after listening to a singular song?! This is an absolute outrage, the only reason people are using your idiotic app is because of its “fun” features (such as blends, wrapped; etc.), and its properties which enable it to play out of app! And why is it still recommending music u listened to two years ago?! It’s still saying I listen to it and am into the same genres I used to be, even when said genres and songs have been blocked!",1,2026-06-28T18:31:33-07:00,9.1.60
14238998863,Book-head reviews⚽️📕,This app is goated!!!,"I have been listening to all of the hits, my fav songs, and even the option of audiobooks!! If i could I would give this 6 stars!😁🤩",5,2026-06-28T18:29:08-07:00,9.1.60
14238985700,Stephanie jr,We should be able to have infinite skips and be able to choose our songs,It’s a music app. I should be able to listen to whatever I want and I shouldn’t be constrained by 6 skips per hour and not being able to choose what songs I want played. You’re just being money hungry,1,2026-06-28T18:24:01-07:00,9.1.60
14238983489,Marybary265,Slay,Slay,5,2026-06-28T18:23:10-07:00,9.1.60
14238980763,Tuff app bro67,67,"Lowk a tuff application, why you reading the reviews bro every one knows what Spotify is😭🥀",4,2026-06-28T18:22:05-07:00,9.1.60
14238977345,Tuff TJ,Tuff tuff but maaaad ads that lwk get annoying fr 😔,4 stars,4,2026-06-28T18:20:45-07:00,9.1.60
14238977260,Listen foo,Commercial,To many commercials. Shouldn’t have to pay for premium to have less adds.,1,2026-06-28T18:20:42-07:00,9.1.60
14238974506,Norathenfp,Love the app hate ai,"Love the app and use it basically every day, don’t love that they integrated ai in general and especially to an app for artists. Very disappointed in the people who thought this was a good move, leading me to deduct two stars that I wouldn’t have prior.",3,2026-06-28T18:19:37-07:00,9.1.60
14238972426,MERSANAA,AMAZINGGG,okay i’ve been using spotify for 3years and it’s great it has all the songs u could think of. it’s great try it out pleaseeee,5,2026-06-28T18:18:47-07:00,9.1.60
14238969296,Kyle Busch fan 4 life #18,This is T R A S H,Spotify what are you doing first ads than I have to pay to play songs I want to play in any order and now I have no choice but to listen to music that’s not even on my playlist anymore. WHY (HALF STAR),1,2026-06-28T18:17:37-07:00,9.1.60
14238965524,Brady. R,Nice👍,Spotify is amazing!,5,2026-06-28T18:16:08-07:00,9.1.60
14238960036,wminai,Awesome piece of selection,I can now learn the lyrics of many of my musical favorites and songs that I love so much.,5,2026-06-28T18:13:59-07:00,9.1.60
14238957130,Fletchy_6,Spotify,Aura,5,2026-06-28T18:12:53-07:00,9.1.60
14238950006,Antarctica21,Best app ever,best app ever especially with premium,5,2026-06-28T18:10:03-07:00,9.1.60
14238949349,Emmalou.💕,horrible.🫤,"Ok so this app is AMAZING! Even if you don’t own pro this is still by far the BEST music app out there.  It is SO easy to sign up/ log in to this and I will always be using this app for my music time! They even provide clean versions and this app is just so high quality. Keep it up, Spotify! Five ⭐️’s. edit: okayy so its been like a year scince i wrote ts and i js wanna say i take it all back and it SUCKS. if u have the free version like me, it used to be verry nice and now its js ads, ads, and you cant even skip?? like what!!! its horrible if u cant pay for the premium, like someone cutting a dollar bill in half and saying theyre gonna use it. one star do better🥀",1,2026-06-28T18:09:47-07:00,9.1.60
14238929080,Cookie run kingdom is fun,Tuff,This app makes me happy,5,2026-06-28T18:02:01-07:00,9.1.60
14238918503,Scott686,Glacier girl,This song is just so underrated,5,2026-06-28T17:57:53-07:00,9.1.60
14238909190,Emma_s0ccer,Love it,I love it so much it’s so easy to not just type up songs and put them and do it again and again instead you can actually make a playlist love it!,5,2026-06-28T17:54:10-07:00,9.1.60
14238908923,Meta t.,Spotify,There is an ad like every time you skip a song and you have a limit of skips per hour.,3,2026-06-28T17:54:04-07:00,9.1.60
14238907615,👽👾🛼✌️😔🥀,Sure,Low key kinda annoying if you don’t have premium but still a lot better than Apple Music,4,2026-06-28T17:53:32-07:00,9.1.60
14238900553,babyazzy,Best,Best app ever I love it so much,5,2026-06-28T17:50:47-07:00,9.1.60
14238897424,FLY TA YA CITY,ICE MAN MAY 15,Ts to good,5,2026-06-28T17:49:31-07:00,9.1.60
14238879210,John_a55,abolish ice,abolish ice,1,2026-06-28T17:42:19-07:00,9.1.60
14238863814,tscaf2000,Yeah Spotify,"Music on the go, music when you want it, you make your list and play, play, play.",5,2026-06-28T17:36:17-07:00,9.1.60
14238852478,psalm:),Slowly becoming trash,Spotify has failed to shuffle my music. Lately it plays the same songs over and over again. Discover music is trash. All their music is AI now. Unsubscribing,1,2026-06-28T17:31:43-07:00,9.1.60
14238852103,Jaboosy,I-Tunes,This is how music should be basically free.,5,2026-06-28T17:31:35-07:00,9.1.60
14238847821,Frutitooti,Spotify,Love how you can pick youre own songs and create playlists,5,2026-06-28T17:29:54-07:00,9.1.60
14238842831,dave shabowsky,the non premium experience is awful,the premium is amazing tho,4,2026-06-28T17:27:52-07:00,9.1.60
14238834811,￼OK with a flick,I♥Spotify,"I think Spotify is amazing because it lets me listen to all of my favorite artists like Olivia Rodrigo, Ariana Grande, Tate McRae, Bailey spin KATSEYE and I love listening to music and I always wanted to be a singer and one day. I hope I can produce music onto Spotify, but if you’re thinking of about getting Spotify, I would suggest premium.",5,2026-06-28T17:24:38-07:00,9.1.60
14238833842,Za’Niya goodwin,My review,I love it but I want to repeat the songs with out paying,5,2026-06-28T17:24:15-07:00,9.1.60
14238814093,Dulac girl,Mels creations,I love listening to Spotify,5,2026-06-28T17:16:19-07:00,9.1.60
14238798745,Mejora de IQ,La mejor aplicación de música,Diez estrellas,5,2026-06-28T17:10:16-07:00,9.1.60
14238790503,Para chat,Aganlo,Quiten los anuncios por eso la gente prefiere Apple music,3,2026-06-28T17:06:58-07:00,9.1.60
14238777412,Misseclectic,Amazing,I play all my music on it amazing,5,2026-06-28T17:01:46-07:00,9.1.60
14238770117,Jacq woman,Daily Routine,Integrated into my daily life,5,2026-06-28T16:58:47-07:00,9.1.60
14238769738,Gamer Girl 10/10,Vibe,Spotify is a whole vibe! I can choose songs from artist I like and add them to my playlist💕10/10,5,2026-06-28T16:58:38-07:00,9.1.60
14238768387,Gobsone,Great plate form,Love how I find a lot of new artist just by listening to what I like.,5,2026-06-28T16:58:04-07:00,9.1.60
14238753932,bubby linda,funny,love this,5,2026-06-28T16:52:02-07:00,9.1.60
14238753290,Kinda cool person.,Good but bad,Spotify is one of the best except on phone due to a absurd reliance on premium practically every single aspect of your mobile experience is limited to basically 5 picks of what ever you want and we’ll just pick whatever the ai wants you to hear pretty disappointing.,3,2026-06-28T16:51:46-07:00,9.1.60
14238751768,241_k976.,Omg,You have to get a supscription to pick a song and then it plays the most horrible songs you’ve ever listen to in your life,1,2026-06-28T16:51:09-07:00,9.1.60
14238746856,67is in2025 the new 67 is 89,There's one problem that's probably isn't it fault,I love it.it has is many songs and I love making playlists.but I can't update it so mine is un updated. So me and my siblings have different Spotifys.but I don't think its fault. But otherwish it's amazing I love it,4,2026-06-28T16:49:09-07:00,9.0.48
14238737737,yapplr,ADS r getting too much bro.,I don’t understand why I have 5 ads in a row.,1,2026-06-28T16:45:24-07:00,9.1.60
14238737093,the spooky vision,Ok,It’s good but it’s not like I l-like it b-Baka,5,2026-06-28T16:45:08-07:00,9.1.60
14238730168,thanksodysseus,Fix the liked song Ui prettty prettyy pleeassee!!!,"I’ve never written a review in my entire life although I feel like this will get out there and hopefully make notice I think of something we all have. Even my friends an I have spoken on this

Simply, I don’t mind liking a song. I always add it to my playlist although I have to wait 3 to 4 seconds every time after trying to add it to my playlist because that plus icon turns into a liked song and then I see a sign that pops up to the area where I wanted to add it to my playlist next to the done button. It’s really a performative waste of time.

Love u all please fix spotify team. Get this to the higher ups asap!!!",5,2026-06-28T16:42:19-07:00,9.1.60
14238721674,Dma2120,Best songs,Best songs on the this app iykyk,5,2026-06-28T16:38:53-07:00,9.1.60
14238710964,SMDContreras,Music,Good playlists,5,2026-06-28T16:34:32-07:00,9.1.60
14238708783,Sadru1101,Add,To many adds,2,2026-06-28T16:33:35-07:00,9.1.60
14238696155,Nike basketball,Good music app,👍,5,2026-06-28T16:28:27-07:00,9.1.60
14238690764,ChristnaMikos,Review,"I enjoy the music, but it’s supposed to be a half hour of commercial free listening.  I get like 3-5 minutes between commercials.  It’s so annoying.",5,2026-06-28T16:26:14-07:00,9.1.60
14238687162,TMSC1878,So worth it,"I love that for such a low fee my entire family has access to endless music, podcasts, and audiobooks. I should have joined years ago when everyone was telling me how great it is.",5,2026-06-28T16:24:46-07:00,9.1.60
14238686406,hshshskbsvsb,El mejor,Amo Spotify es el mejro y azi,5,2026-06-28T16:24:27-07:00,9.1.60
14238683927,NICEPEBBLE,Good songs,ITS SO GOOD I BEEN USING THE SONG FOR HOURS NOW >:3,5,2026-06-28T16:23:27-07:00,9.1.60
14238679907,(ｋ_ｋ) (♥ω♥) ( ⸝⸝･̆⤚･̆⸝⸝),Good,I love it so much but it adds songs to playlists that I don’t know.,4,2026-06-28T16:21:49-07:00,9.1.60
14238671076,Leonardo Bacile,“Shuffle”,The shuffle option and the dj option only plays the same songs,4,2026-06-28T16:18:15-07:00,9.1.60
14238665904,Livvy✨🍀,Therapy,"It saves me but I wish their song transitions were better i like apple music personally.,,. Love the features tho",5,2026-06-28T16:16:08-07:00,9.1.60
14238664372,leslie0125,Amooooo,App increíble,5,2026-06-28T16:15:34-07:00,9.1.60
14238652458,Walking Journey,Shove it,I’ll never fork over my hard earned money to a leftist organization like Spotify. This is extortion; You make a like list of songs then they force you to listen songs you don’t like in your playlist. Open your eyes people hold onto your CDs for dear life if you still owe them.,1,2026-06-28T16:10:45-07:00,9.1.60
